Foraging rate,Species,Movement rate,Social category,Sex,Locality,Seasonality,Weater conditions,Time of day,Flock size(Species number),Flock size(Birds number),Foraging rate flocks
1.5,Oreothlypis peregrina,21.95121951,Solitary,,Fredonia,17,0,14:00,1,2,
0,Oreothlypis peregrina,22.7027027,Solitary,,Jerico,5,20,12:00,1,2,
0,Oreothlypis peregrina,18.46153846,Solitary,,Fredonia,13,50,17:00,1,1,
2.242424242,Oreothlypis peregrina,22.42424242,Solitary,,Jerico,10,30,10:00,1,1,
2.76746988,Oreothlypis peregrina,29.63855422,Solitary,,Tamesis,25,90,17:00,1,1,
1.341463415,Oreothlypis peregrina,21.95121951,Solitary,,Fredonia,17,0,14:00,1,2,
0,Oreothlypis peregrina,22.7027027,Solitary,,Jerico,5,20,12:00,1,2,
0,Oreothlypis peregrina,18.46153846,Solitary,,Fredonia,13,50,17:00,1,1,
0,Oreothlypis peregrina,18.46153846,Solitary,,Fredonia,13,50,17:00,1,1,
2.1,Oreothlypis peregrina,22.42424242,Solitary,,Jerico,10,30,10:00,1,1,
1.9,Oreothlypis peregrina,29.63855422,Solitary,,Tamesis,25,90,17:00,1,1,
1.4,Oreothlypis peregrina,21.95121951,Solitary,,Fredonia,17,0,14:00,1,2,
2.6,Oreothlypis peregrina,,Solitary,,Fredonia,,,13:00,1,1,
12.5,Hemithraupis guira,5,Solitary,Female,Fredonia,18,100,7:00,1,1,12.4137931
12.4137931,Hemithraupis guira,8.275862069,Flock,Female,Tamesis,24,10,9:00,26,37,12.4137931
12.4137931,Hemithraupis guira,14.48275862,Flock,Male,Fredonia,12,20,12:00,9,12,11.37931034
11.37931034,Hemithraupis guira,14.48275862,Flock,Male,Fredonia,12,20,12:00,9,12,9.75
9.75,Hemithraupis guira,17.25,Flock,Male,Fredonia,20,80,10:00,25,35,6.818181818
6.818181818,Hemithraupis guira,25.90909091,Flock,Female,Tamesis,28,60,11:00,32,55,6.428571429
6.428571429,Hemithraupis guira,19.28571429,Flock,Male,Tamesis,29,100,16:00,15,27,6.315789474
6.315789474,Hemithraupis guira,22.10526316,Flock,Male,Fredonia,17,,16:00,8,13,6
6,Hemithraupis guira,15,Flock,Male,Tamesis,28,40,16:00,33,53,5.753424658
5.753424658,Hemithraupis guira,21.36986301,Flock,Female,Otros,36,,11:00,,,5.263157895
5.263157895,Hemithraupis guira,13.68421053,Flock,Female,Tamesis,23,50,9:00,14,23,5.234899329
5.234899329,Hemithraupis guira,26.57718121,Flock,Male,Tamesis,23,50,9:00,14,23,5.070422535
5.070422535,Hemithraupis guira,14.36619718,Flock,Female,Fredonia,14,20,11:00,18,25,4.8
4.8,Hemithraupis guira,14.4,Flock,Male,Jerico,7,20,11:00,11,22,4.516129032
4.516129032,Hemithraupis guira,18.06451613,Flock,Female,Fredonia,20,10,6:00,13,18,4.186046512
4.186046512,Hemithraupis guira,16.74418605,Flock,Male,Fredonia,12,20,12:00,9,12,4.137931034
4.137931034,Hemithraupis guira,14.48275862,Flock,Male,Fredonia,11,0,10:00,6,9,4.033613445
4.033613445,Hemithraupis guira,12.10084034,Flock,Male,Otros,36,,11:00,,,4
4,Hemithraupis guira,9.333333333,Flock,Female,Fredonia,19,80,12:00,13,24,4
4,Hemithraupis guira,40,Flock,Male,Tamesis,26,0,11:00,10,16,3.6
3.6,Hemithraupis guira,22.8,Flock,Female,Fredonia,15,20,8:00,13,19,3.157894737
3.157894737,Hemithraupis guira,12.63157895,Flock,Male,Fredonia,11,0,10:00,15,21,3
3,Hemithraupis guira,13.5,Flock,Male,Fredonia,19,80,12:00,13,24,2.666666667
2.666666667,Hemithraupis guira,25.33333333,Flock,Male,Fredonia,16,0,13:00,16,23,2.608695652
2.608695652,Hemithraupis guira,18.26086957,Flock,Male,Fredonia,21,100,9:00,15,22,2.553191489
2.553191489,Hemithraupis guira,8.936170213,Flock,Female,Tamesis,26,,8:00,5,5,2.448979592
2.448979592,Hemithraupis guira,15.91836735,Flock,Male,Jerico,7,20,11:00,11,22,2
2,Hemithraupis guira,19,Flock,Female,Tamesis,23,50,9:00,14,23,1.875
1.875,Hemithraupis guira,15,Flock,Female,Fredonia,14,20,11:00,18,25,1.714285714
1.785714286,Hemithraupis guira,19.28571429,Solitary,Female,Otros,33,0,8:00,1,2,1.6
1.714285714,Hemithraupis guira,5.142857143,Flock,Male,Jerico,9,30,11:00,17,20,1.374045802
1.6,Hemithraupis guira,14.4,Flock,Male,Fredonia,10,10,16:00,8,9,1.224489796
1.374045802,Hemithraupis guira,14.65648855,Flock,Male,Fredonia,19,100,6:00,10,15,1.224489796
1.224489796,Hemithraupis guira,14.69387755,Flock,Female,Jerico,6,,16:00,,,1.224489796
1.224489796,Hemithraupis guira,24.08163265,Flock,Female,Fredonia,19,80,12:00,13,24,1.132075472
1.224489796,Hemithraupis guira,21.42857143,Flock,Male,Fredonia,20,80,10:00,25,35,0.759493671
1.132075472,Hemithraupis guira,19.24528302,Flock,Male,Fredonia,21,100,9:00,15,22,0.582524272
0.759493671,Hemithraupis guira,18.98734177,Flock,Male,Tamesis,23,50,10:00,24,23,0
0.582524272,Hemithraupis guira,16.31067961,Flock,Male,Jerico,4,50,9:00,23,21,0
0,Hemithraupis guira,39.41176471,Flock,Female,Otros,33,0,7:00,1,2,0
0,Hemithraupis guira,12,Solitary,Male,Fredonia,11,0,10:00,6,9,
0,Hemithraupis guira,12,Flock,Male,Fredonia,11,10,8:00,11,12,
0,Hemithraupis guira,12,Flock,Male,Fredonia,10,90,12:00,14,21,
2,Hemithraupis guira,,Solitary,Female,Tamesis,,,,,,
6,Zimmerius chysops,6,Flock,,Tamesis,29,100,16:00,15,27,6
6,Zimmerius chysops,2,Flock,,Fredonia,18,100,9:00,11,17,6
6,Zimmerius chysops,,Flock,,Otros,32,,7:00,,,6
5.142857143,Zimmerius chysops,4.571428571,Flock,,Tamesis,24,10,9:00,26,37,5.142857143
4.855491329,Zimmerius chysops,6.589595376,Flock,,Fredonia,10,100,9:00,13,20,4.855491329
4.615384615,Zimmerius chysops,7.692307692,Flock,,Tamesis,30,90,12:00,13,22,4.615384615
4.285714286,Zimmerius chysops,4.285714286,Flock,,Fredonia,13,40,7:00,26,37,4.285714286
4.109589041,Zimmerius chysops,9.863013699,Solitary,,Jerico,5,30,15:00,1,1,3.846153846
3.846153846,Zimmerius chysops,11.53846154,Flock,,Tamesis,30,90,12:00,13,22,3.214285714
3.214285714,Zimmerius chysops,19.28571429,Flock,,Tamesis,30,90,13:00,13,22,3.157894737
3.157894737,Zimmerius chysops,18.94736842,Flock,,Otros,36,,11:00,,,2.748091603
2.748091603,Zimmerius chysops,7.786259542,Flock,,Fredonia,21,80,12:00,25,35,2.608695652
2.608695652,Zimmerius chysops,7.826086957,Flock,,Fredonia,12,50,9:00,,,2.5
2.5,Zimmerius chysops,5,Flock,,Otros,32,,9:00,,,2.4
2.414860681,Zimmerius chysops,2.600619195,Solitary,,Jerico,5,40,16:00,1,1,2.307692308
2.4,Zimmerius chysops,9.6,Flock,,Fredonia,12,50,9:00,10,15,2.222222222
2.307692308,Zimmerius chysops,8.076923077,Flock,,Tamesis,25,100,10:00,15,25,2.068965517
2.222222222,Zimmerius chysops,11.11111111,Flock,,Fredonia,13,40,6:00,26,37,2.068965517
2.142857143,Zimmerius chysops,4.714285714,Solitary,,Jerico,5,30,15:00,1,2,1.764705882
2.142857143,Zimmerius chysops,4.285714286,Solitary,,Jerico,7,20,10:00,1,1,1.739130435
2.083333333,Zimmerius chysops,5.416666667,Solitary,,Jerico,5,30,16:00,1,1,1.621621622
2.068965517,Zimmerius chysops,2.068965517,Flock,,Tamesis,5,100,12:00,,,1.512605042
2.068965517,Zimmerius chysops,2.068965517,Flock,,Jerico,29,30,17:00,7,8,3.63
1.804511278,Zimmerius chysops,3.157894737,Solitary,,Jerico,5,60,11:00,1,1,3.7
1.764705882,Zimmerius chysops,7.826086957,Flock,,Jerico,6,,16:00,25,35,3.6
1.739130435,Zimmerius chysops,6.486486486,Flock,,Fredonia,21,80,12:00,13,22,3
1.621621622,Zimmerius chysops,6.486486486,Flock,,Tamesis,30,90,13:00,,,4.1
1.512605042,Zimmerius chysops,16.13445378,Flock,,Jerico,37,,12:00,13,21,3.5
0.927835052,Zimmerius chysops,1.237113402,Solitary,,Otros,34,,14:00,1,1,3.1
0.905660377,Zimmerius chysops,5.886792453,Solitary,,Jerico,10,,8:00,1,1,2.9
0.5,Zimmerius chysops,1.70212766,Solitary,,Jerico,5,30,16:00,1,1,3
0,Zimmerius chysops,3,Solitary,,Jerico,5,40,16:00,1,1,2.6
0,Zimmerius chysops,1.935483871,Solitary,,Fredonia,12,50,7:00,1,1,
0,Zimmerius chysops,3,Solitary,,Fredonia,14,20,6:00,1,1,
3.63,Zimmerius chysops,,Flock,,Jerico,2,,11:00,11,20,
3.7,Zimmerius chysops,,Flock,,Jerico,13,,16:00,13,22,
3.6,Zimmerius chysops,,Flock,,Fredonia,4,,12:00,33,38,
3,Zimmerius chysops,,Flock,,Tamesis,16,,13:00,11,19,
4.1,Zimmerius chysops,,Flock,,Jerico,34,,12:00,25,36,
3.5,Zimmerius chysops,,Flock,,Otros,12,,14:00,28,28,
3.1,Zimmerius chysops,,Flock,,Jerico,28,,8:00,22,28,
2.9,Zimmerius chysops,,Flock,,Jerico,11,,16:00,25,35,
3,Zimmerius chysops,,Flock,,Jerico,15,,16:00,20,31,
2.6,Zimmerius chysops,,Flock,,Fredonia,18,,7:00,22,36,
4,Zimmerius chysops,,Solitary,,Fredonia,23,,9:00,1,1,
2.42,Zimmerius chysops,,Solitary,,Otros,9,,12:00,1,1,
2.114,Zimmerius chysops,,Solitary,,Jerico,29,,7:00,1,1,
2.385,Zimmerius chysops,,Solitary,,Fredonia,14,,15:00,1,1,
2.333333333,Zimmerius chysops,,Solitary,,Tamesis,6,,12:00,1,1,
1.35112782,Zimmerius chysops,,Solitary,,Fredonia,40,,13:00,1,1,
1,Zimmerius chysops,,Solitary,,Jerico,45,,11:00,1,1,
0.905660377,Zimmerius chysops,,Solitary,,Jerico,50,,12:00,1,1,
0.5,Zimmerius chysops,,Solitary,,Jerico,9,,9:00,1,1,
0,Zimmerius chysops,,Solitary,,Tamesis,17,,9:00,1,1,
0,Zimmerius chysops,,Solitary,,Jerico,33,,16:00,1,1,
0,Zimmerius chysops,,Solitary,,Jerico,62,,8:00,1,1,
18,Parula pitiayumi,22,Flock,,Tamesis,23,50,9:00,14,23,18
10.3030303,Parula pitiayumi,20,Flock,,Jerico,10,30,8:00,22,37,10.3030303
8.275862069,Parula pitiayumi,35.17241379,Flock,,Tamesis,28,40,16:00,33,53,8.275862069
8.13559322,Parula pitiayumi,24.40677966,Flock,,Otros,32,10,8:00,4,4,8.13559322
6.153846154,Parula pitiayumi,26.15384615,Flock,,Tamesis,24,10,8:00,26,37,6.153846154
5.454545455,Parula pitiayumi,25.90909091,Flock,,Fredonia,20,10,6:00,13,18,5.454545455
4.875,Parula pitiayumi,27.375,Flock,,Fredonia,14,10,12:00,7,8,4.875
4.444444444,Parula pitiayumi,37.77777778,Flock,,Fredonia,20,0,9:00,13,18,4.444444444
4.225352113,Parula pitiayumi,33.8028169,Flock,,Otros,36,100,12:00,,,4.225352113
3.529411765,Parula pitiayumi,25.88235294,Flock,,Tamesis,23,60,16:00,11,19,3.529411765
3.402061856,Parula pitiayumi,39.27835052,Flock,,Tamesis,28,60,11:00,32,55,3.402061856
3.396226415,Parula pitiayumi,29.43396226,Flock,,Tamesis,28,90,11:00,32,55,3.396226415
3.333333333,Parula pitiayumi,36.66666667,Flock,,Tamesis,30,40,12:00,13,22,3.333333333
3.076923077,Parula pitiayumi,35.38461538,Flock,,Tamesis,28,10,17:00,33,53,3.076923077
3,Parula pitiayumi,30,Flock,,Fredonia,20,100,6:00,13,18,3
2.884615385,Parula pitiayumi,25.38461538,Flock,,Jerico,5,20,8:00,14,18,2.884615385
2.727272727,Parula pitiayumi,40.90909091,Flock,,Jerico,6,40,11:00,30,36,2.727272727
2.686567164,Parula pitiayumi,25.52238806,Flock,,Tamesis,28,90,17:00,33,53,2.686567164
2.666666667,Parula pitiayumi,36,Flock,,Tamesis,30,50,13:00,13,22,2.666666667
2.599277978,Parula pitiayumi,28.59205776,Flock,,Tamesis,24,50,14:00,22,31,2.599277978
2.553191489,Parula pitiayumi,31.06382979,Flock,,Jerico,10,80,11:00,11,13,2.553191489
2.5,Parula pitiayumi,25.625,Flock,,Jerico,2,100,8:00,13,18,2.5
2.040816327,Parula pitiayumi,29.79591837,Flock,,Tamesis,25,0,10:00,15,25,2.040816327
1.935483871,Parula pitiayumi,30.96774194,Flock,,Fredonia,17,90,6:00,14,18,1.935483871
1.875,Parula pitiayumi,15,Flock,,Fredonia,10,0,11:00,14,21,1.875
1.714285714,Parula pitiayumi,15.42857143,Solitary,,Jerico,9,100,7:00,1,1,1.451612903
1.451612903,Parula pitiayumi,23.22580645,Flock,,Tamesis,25,10,9:00,15,25,1
1.224489796,Parula pitiayumi,20.20408163,Solitary,,Fredonia,11,10,8:00,1,2,0
1,Parula pitiayumi,23,Flock,,Tamesis,24,30,8:00,26,37,3.306185567
0.902255639,Parula pitiayumi,14.73684211,Solitary,,Jerico,38,20,16:00,1,1,3.622641509
0.818181818,Parula pitiayumi,11.18181818,Solitary,,Jerico,38,30,15:00,1,1,3.333333333
0.5,Parula pitiayumi,10.26315789,Solitary,,Tamesis,25,0,11:00,1,1,
0,Parula pitiayumi,20.52631579,Flock,,Jerico,4,0,16:00,6,6,
0,Parula pitiayumi,34.28571429,Solitary,,Fredonia,13,10,13:00,1,1,
0,Parula pitiayumi,21.72413793,Solitary,,Jerico,37,0,14:00,1,1,
3.306185567,Parula pitiayumi,,Flock,,Jerico,6,,7:00,1,1,
3.622641509,Parula pitiayumi,,Flock,,Jerico,7,,9:00,1,1,
3.333333333,Parula pitiayumi,,Flock,,Jerico,29,,8:00,1,1,
1.348979592,Parula pitiayumi,,Solitary,,Tamesis,32,,8:00,1,1,
1,Parula pitiayumi,,Solitary,,Fredonia,22,,16:00,1,1,
0.9,Parula pitiayumi,,Solitary,,Fredonia,13,,15:00,1,1,
0.5,Parula pitiayumi,,Solitary,,Jerico,4,,11:00,1,1,
1,Parula pitiayumi,,Solitary,,Jerico,27,,16:00,1,1,
0,Parula pitiayumi,,Solitary,,Tamesis,19,,13:00,1,1,
1.448979592,Parula pitiayumi,,Solitary,,Fredonia,11,,11:00,1,1,
1.1,Parula pitiayumi,,Solitary,,Tamesis,10,,9:00,1,1,
0.7,Parula pitiayumi,20.20408163,Solitary,,Fredonia,26,10,8:00,1,1,
0.5,Parula pitiayumi,14.73684211,Solitary,,Jerico,11,20,16:00,1,1,
0.64,Parula pitiayumi,11.18181818,Solitary,,Jerico,38,30,15:00,1,1,
0,Parula pitiayumi,10.26315789,Solitary,,Tamesis,25,0,11:00,1,1,
1,Parula pitiayumi,34.28571429,Solitary,,Fredonia,13,10,13:00,1,1,
0,Parula pitiayumi,21.72413793,Solitary,,Jerico,37,0,14:00,1,1,
0.5,Parula pitiayumi,,Solitary,,Fredonia,24,,11:00,1,1,
0.6,Parula pitiayumi,,Solitary,,Tamesis,38,,13:00,1,1,
0,Parula pitiayumi,,Solitary,,Jerico,16,,16:00,1,1,
0,Parula pitiayumi,,Solitary,,Tamesis,19,,8:00,1,1,
