Foraging rate,Species,Movement rate,Social category,Sex,Locality,Seasonality,Weater conditions,Time of day,Flock size(Species number),Flock size(Birds number),Foraging rate flocks
1.714285714,Setophaga fusca,36,Flock,Female,Fredonia,12,50,9:00,10,15,0
1.714285714,Setophaga fusca,25.71428571,Solitary,Female,Fredonia,11,,12:00,1,1,0.579220779
1.690140845,Setophaga fusca,25.35211268,Solitary,Female,Fredonia,11,,12:00,1,1,1
1.411764706,Setophaga fusca,31.05882353,Flock,Female,Tamesis,26,,10:00,14,20,1
1.333333333,Setophaga fusca,20.66666667,Flock,Female,Jerico,4,70,8:00,4,4,
1.176470588,Setophaga fusca,40,Flock,Male,Fredonia,19,80,14:00,8,17,
1.011235955,Setophaga fusca,24.60674157,Solitary,Male,Tamesis,25,0,17:00,1,1,
0.983606557,Setophaga fusca,33.44262295,Solitary,Male,Otros,34,,11:00,1,1,
0.9375,Setophaga fusca,21.5625,Solitary,Female,Tamesis,28,,17:00,1,1,
0.779220779,Setophaga fusca,19.48051948,Flock,Male,Jerico,9,,9:00,9,12,
0.612244898,Setophaga fusca,28.7755102,Solitary,Female,Jerico,7,,10:00,1,2,
0,Setophaga fusca,19.09090909,Flock,Male,Fredonia,14,100,16:00,8,9,
0,Setophaga fusca,22.66666667,Solitary,Female,Fredonia,10,30,7:00,1,1,
0,Setophaga fusca,26.47058824,Flock,Female,Jerico,7,,8:00,21,30,
0,Setophaga fusca,24.70588235,Solitary,Male,Jerico,8,40,15:00,1,2,
1.4318,Setophaga fusca,22.71,Solitary,Female,Fredonia,10,,13:00,9,12,
1.3954,Setophaga fusca,22.12676056,Solitary,Female,Fredonia,10,,11:00,1,1,
0.776783534,Setophaga fusca,21.74157303,Solitary,Male,Tamesis,24,0,16:00,1,1,
1.683606557,Setophaga fusca,30.44262295,Solitary,Male,Otros,33,,10:00,1,1,
0.63357,Setophaga fusca,18.625,Solitary,Female,Tamesis,27,,16:00,1,1,
0.579220779,Setophaga fusca,19.48051948,Flock,Male,Jerico,8,,8:00,,,
0.612244898,Setophaga fusca,25.7755102,Solitary,Female,Jerico,6,,9:00,1,2,
1,Setophaga fusca,19.09090909,Flock,Male,Fredonia,13,100,15:00,8,9,
0,Setophaga fusca,21.66666667,Solitary,Female,Fredonia,9,30,7:00,1,1,
1,Setophaga fusca,26.47055294,Flock,Female,Jerico,6,,8:00,21,30,
4,Setophaga fusca,22.23529412,Solitary,Male,Jerico,7,40,15:00,1,2,
2.12,Setophaga fusca,27.714,Solitary,Male,Fredonia,10,,13:00,1,1,
1.8925,Setophaga fusca,23.35211268,Solitary,Male,Fredonia,11,,13:00,1,1,
1.354,Setophaga fusca,27.6,Solitary,Female,Tamesis,26,0,16:00,1,1,
1.183606557,Setophaga fusca,36.44262295,Solitary,Female,Otros,35,,10:00,1,1,
3.23454,Setophaga fusca,24.625,Solitary,Male,Tamesis,29,,16:00,1,1,
1.912244898,Setophaga fusca,31.755116,Solitary,Male,Jerico,8,,11:00,1,2,
0,Setophaga fusca,25.56732,Solitary,Male,Fredonia,11,30,6:00,1,1,
2,Setophaga fusca,27.568721,Solitary,Female,Jerico,9,40,16:00,1,2,
3,Setophaga fusca,27.568721,Solitary,Female,Jerico,9,40,16:00,1,2,
1.6,Setophaga fusca,27.568721,Solitary,Female,Jerico,9,40,16:00,1,2,
12.35294118,Cardelina canadensis,17.64705882,Flock,Male,Tamesis,31,40,13:00,20,26,12.35294118
11.57894737,Cardelina canadensis,17.89473684,Flock,Female,Fredonia,10,90,11:00,14,21,11.57894737
8,Cardelina canadensis,20,Flock,Male,Jerico,7,0,12:00,11,22,8
6.206896552,Cardelina canadensis,27.93103448,Flock,Female,Jerico,7,40,8:00,21,30,6.206896552
4.615384615,Cardelina canadensis,13.84615385,Flock,Female,Fredonia,11,0,10:00,15,20,4.615384615
3.947368421,Cardelina canadensis,28.94736842,Flock,Male,Jerico,38,,9:00,7,8,3.947368421
3.703703704,Cardelina canadensis,40,Flock,Female,Tamesis,28,60,11:00,32,55,3.703703704
3.333333333,Cardelina canadensis,25,Flock,Male,Fredonia,10,90,11:00,14,21,3.333333333
3.333333333,Cardelina canadensis,28.33333333,Flock,Male,Tamesis,28,50,10:00,9,15,3.333333333
3.333333333,Cardelina canadensis,27.77777778,Flock,Male,Fredonia,14,30,7:00,4,6,3.333333333
3.20855615,Cardelina canadensis,26.63101604,Flock,Female,Jerico,5,100,8:00,14,18,3.20855615
3.157894737,Cardelina canadensis,16.31578947,Flock,Male,Jerico,3,0,12:00,4,4,3.157894737
3.076923077,Cardelina canadensis,25.38461538,Flock,Male,Fredonia,13,40,8:00,27,37,3.076923077
3,Cardelina canadensis,21,Flock,Female,Jerico,37,,16:00,5,5,3
2.647058824,Cardelina canadensis,17.64705882,Flock,Male,Fredonia,15,20,8:00,13,19,2.647058824
2.608695652,Cardelina canadensis,16.63043478,Flock,Female,Jerico,5,90,8:00,14,18,2.608695652
2.5,Cardelina canadensis,30.3125,Flock,Male,Otros,39,,11:00,3,3,2.5
2.142857143,Cardelina canadensis,24.64285714,Flock,Male,Jerico,37,,12:00,13,21,2.142857143
2.093023256,Cardelina canadensis,30,Flock,Female,Jerico,37,,9:00,5,6,2.093023256
1.111111111,Cardelina canadensis,37.77777778,Flock,Male,Tamesis,24,50,14:00,22,31,1.111111111
0.52173913,Cardelina canadensis,16.69565217,Flock,Female,Jerico,2,70,10:00,7,7,0.52173913
0,Cardelina canadensis,29.18918919,Flock,Male,Jerico,6,20,11:00,30,36,0
11.29,Cardelina canadensis,17.64705882,Flock,Male,Tamesis,32,40,13:00,21,27,11.29
10.89,Cardelina canadensis,17.89473684,Flock,Female,Fredonia,11,90,11:00,15,22,10.89
7,Cardelina canadensis,20,Flock,Male,Jerico,8,0,12:00,12,23,7
5.2,Cardelina canadensis,27.93103448,Flock,Female,Jerico,8,40,8:00,22,31,5.2
3.53,Cardelina canadensis,13.84615385,Flock,Female,Fredonia,12,0,10:00,16,21,3.53
2.73,Cardelina canadensis,28.94736842,Flock,Male,Jerico,39,,9:00,8,9,2.73
2.7003,Cardelina canadensis,40,Flock,Female,Tamesis,29,60,11:00,33,54,2.7003
2.33,Cardelina canadensis,25,Flock,Female,Fredonia,11,90,11:00,15,22,2.33
2.33,Cardelina canadensis,28.33333333,Flock,Male,Tamesis,19,50,10:00,10,18,2.33
2.33,Cardelina canadensis,27.77777778,Flock,Male,Fredonia,15,30,7:00,5,7,2.33
2.2,Cardelina canadensis,26.63101604,Flock,Female,Jerico,6,100,8:00,13,19,2.2
2.15,Cardelina canadensis,16.31578947,Flock,Male,Jerico,4,0,12:00,4,5,2.15
2.69,Cardelina canadensis,25.38461538,Flock,Male,Fredonia,14,40,8:00,26,37,2.69
4,Cardelina canadensis,21,Flock,Female,Jerico,38,,16:00,4,5,4
2.705882353,Cardelina canadensis,17.64705882,Flock,Male,Fredonia,16,20,8:00,12,18,2.705882353
3.608695652,Cardelina canadensis,16.63043478,Flock,Female,Jerico,6,90,8:00,13,19,3.608695652
3.5,Cardelina canadensis,30.3125,Flock,Male,Otros,40,,11:00,4,3,3.5
