species,foragingrate,movementrate,sociality,gender,locality,dayofseason,time,flocksizespecies,flocksizeind,foragingrate,movementrate,foragingrate_cont,movementrate_cont
Oreothlypis peregrina,3,21,Flock,UK,Fredonia,14,16:00,4,5,3,21,2.950819672,20.6557377
Oreothlypis peregrina,2,22,Solitary,UK,Jerico,10,10:00,1,1,2,22,2.424242424,22.42424242
Oreothlypis peregrina,2,30,Solitary,UK,Tamesis,25,17:00,1,1,2,30,2.168674699,29.63855422
Oreothlypis peregrina,2,24,Flock,UK,Jerico,7,11:00,11,22,2,24,1.967213115,23.60655738
Oreothlypis peregrina,2,16,Flock,UK,Fredonia,13,9:00,10,15,2,16,1.836734694,15.91836735
Oreothlypis peregrina,1,22,Solitary,UK,Fredonia,17,14:00,1,2,1,22,1.463414634,21.95121951
Oreothlypis peregrina,1,19,Flock,UK,Jerico,8,8:00,15,27,1,19,0.967741935,18.87096774
Oreothlypis peregrina,0,23,Solitary,UK,Jerico,5,12:00,1,2,0,23,0,22.7027027
Oreothlypis peregrina,0,18,Solitary,UK,Fredonia,13,17:00,1,1,0,18,0,18.46153846
Oreothlypis peregrina,2,22,Solitary,UK,Jerico,10,10:00,1,1,2,22,2.3,22.42424242
Oreothlypis peregrina,2,30,Solitary,UK,Tamesis,25,17:00,1,1,2,30,2,29.63855422
Oreothlypis peregrina,2,22,Solitary,UK,Fredonia,17,14:00,1,2,2,22,1.5,21.95121951
Oreothlypis peregrina,0,23,Solitary,UK,Jerico,5,12:00,1,2,0,23,0,22.7027027
Oreothlypis peregrina,0,18,Solitary,UK,Fredonia,13,17:00,1,1,0,18,0,18.46153846
Oreothlypis peregrina,2,22,Solitary,UK,Jerico,10,10:00,1,1,2,22,2.242424242,22.42424242
Oreothlypis peregrina,3,30,Solitary,UK,Tamesis,25,17:00,1,1,3,30,2.76746988,29.63855422
Oreothlypis peregrina,1,22,Solitary,UK,Fredonia,17,14:00,1,2,1,22,1.341463415,21.95121951
Oreothlypis peregrina,0,23,Solitary,UK,Jerico,5,12:00,1,2,0,23,0,22.7027027
Oreothlypis peregrina,0,18,Solitary,UK,Fredonia,13,17:00,1,1,0,18,0,18.46153846
Oreothlypis peregrina,0,18,Solitary,UK,Fredonia,13,17:00,1,1,0,18,0,18.46153846
Oreothlypis peregrina,2,22,Solitary,UK,Jerico,10,10:00,1,1,2,22,2.1,22.42424242
Oreothlypis peregrina,2,30,Solitary,UK,Tamesis,25,17:00,1,1,2,30,1.9,29.63855422
Oreothlypis peregrina,1,22,Solitary,UK,Fredonia,17,14:00,1,2,1,22,1.4,21.95121951
Oreothlypis peregrina,3,,Solitary,UK,Fredonia,,13:00,1,1,3,,2.6,
Hemithraupis guira,13,5,Solitary,Female,Fredonia,18,7:00,1,1,13,5,12.5,5
Hemithraupis guira,12,8,Flock,Female,Tamesis,24,9:00,26,37,12,8,12.4137931,8.275862069
Hemithraupis guira,12,14,Flock,Male,Fredonia,12,12:00,9,12,12,14,12.4137931,14.48275862
Hemithraupis guira,11,14,Flock,Male,Fredonia,12,12:00,9,12,11,14,11.37931034,14.48275862
Hemithraupis guira,10,17,Flock,Male,Fredonia,20,10:00,25,35,10,17,9.75,17.25
Hemithraupis guira,7,26,Flock,Female,Tamesis,28,11:00,32,55,7,26,6.818181818,25.90909091
Hemithraupis guira,6,19,Flock,Male,Tamesis,29,16:00,15,27,6,19,6.428571429,19.28571429
Hemithraupis guira,6,22,Flock,Male,Fredonia,17,16:00,8,13,6,22,6.315789474,22.10526316
Hemithraupis guira,6,15,Flock,Male,Tamesis,28,16:00,33,53,6,15,6,15
Hemithraupis guira,6,21,Flock,Female,Otros,36,11:00,,,6,21,5.753424658,21.36986301
Hemithraupis guira,5,14,Flock,Female,Tamesis,23,9:00,14,23,5,14,5.263157895,13.68421053
Hemithraupis guira,5,27,Flock,Male,Tamesis,23,9:00,14,23,5,27,5.234899329,26.57718121
Hemithraupis guira,5,14,Flock,Female,Fredonia,14,11:00,18,25,5,14,5.070422535,14.36619718
Hemithraupis guira,5,14,Flock,Male,Jerico,7,11:00,11,22,5,14,4.8,14.4
Hemithraupis guira,5,18,Flock,Female,Fredonia,20,6:00,13,18,5,18,4.516129032,18.06451613
Hemithraupis guira,4,17,Flock,Male,Fredonia,12,12:00,9,12,4,17,4.186046512,16.74418605
Hemithraupis guira,4,14,Flock,Male,Fredonia,11,10:00,6,9,4,14,4.137931034,14.48275862
Hemithraupis guira,4,12,Flock,Male,Otros,36,11:00,,,4,12,4.033613445,12.10084034
Hemithraupis guira,4,9,Flock,Female,Fredonia,19,12:00,13,24,4,9,4,9.333333333
Hemithraupis guira,4,40,Flock,Male,Tamesis,26,11:00,10,16,4,40,4,40
Hemithraupis guira,4,23,Flock,Female,Fredonia,15,8:00,13,19,4,23,3.6,22.8
Hemithraupis guira,3,13,Flock,Male,Fredonia,11,10:00,15,21,3,13,3.157894737,12.63157895
Hemithraupis guira,3,14,Flock,Male,Fredonia,19,12:00,13,24,3,14,3,13.5
Hemithraupis guira,3,25,Flock,Male,Fredonia,16,13:00,16,23,3,25,2.666666667,25.33333333
Hemithraupis guira,3,18,Flock,Male,Fredonia,21,9:00,15,22,3,18,2.608695652,18.26086957
Hemithraupis guira,3,9,Flock,Female,Tamesis,26,8:00,5,5,3,9,2.553191489,8.936170213
Hemithraupis guira,2,16,Flock,Male,Jerico,7,11:00,11,22,2,16,2.448979592,15.91836735
Hemithraupis guira,2,19,Flock,Female,Tamesis,23,9:00,14,23,2,19,2,19
Hemithraupis guira,2,15,Flock,Female,Fredonia,14,11:00,18,25,2,15,1.875,15
Hemithraupis guira,2,19,Solitary,Female,Otros,33,8:00,1,2,2,19,1.785714286,19.28571429
Hemithraupis guira,2,5,Flock,Male,Jerico,9,11:00,17,20,2,5,1.714285714,5.142857143
Hemithraupis guira,2,14,Flock,Male,Fredonia,10,16:00,8,9,2,14,1.6,14.4
Hemithraupis guira,1,15,Flock,Male,Fredonia,19,6:00,10,15,1,15,1.374045802,14.65648855
Hemithraupis guira,1,15,Flock,Female,Jerico,6,16:00,,,1,15,1.224489796,14.69387755
Hemithraupis guira,1,24,Flock,Female,Fredonia,19,12:00,13,24,1,24,1.224489796,24.08163265
Hemithraupis guira,1,21,Flock,Male,Fredonia,20,10:00,25,35,1,21,1.224489796,21.42857143
Hemithraupis guira,1,19,Flock,Male,Fredonia,21,9:00,15,22,1,19,1.132075472,19.24528302
Hemithraupis guira,1,19,Flock,Male,Tamesis,23,10:00,24,23,1,19,0.759493671,18.98734177
Hemithraupis guira,1,16,Flock,Male,Jerico,4,9:00,23,21,1,16,0.582524272,16.31067961
Hemithraupis guira,0,39,Flock,Female,Otros,33,7:00,1,2,0,39,0,39.41176471
Hemithraupis guira,0,12,Solitary,Male,Fredonia,11,10:00,6,9,0,12,0,12
Hemithraupis guira,0,12,Flock,Male,Fredonia,11,8:00,11,12,0,12,0,12
Hemithraupis guira,0,12,Flock,Male,Fredonia,10,12:00,14,21,0,12,0,12
Hemithraupis guira,2,,Solitary,Female,Tamesis,,,,,2,,2,
Zimmerius chrysops,6,6,Flock,UK,Tamesis,29,16:00,15,27,6,6,6,6
Zimmerius chrysops,6,2,Flock,UK,Fredonia,18,9:00,11,17,6,2,6,2
Zimmerius chrysops,6,,Flock,UK,Otros,32,7:00,,,6,,6,
Zimmerius chrysops,5,5,Flock,UK,Tamesis,24,9:00,26,37,5,5,5.142857143,4.571428571
Zimmerius chrysops,5,7,Flock,UK,Fredonia,10,9:00,13,20,5,7,4.855491329,6.589595376
Zimmerius chrysops,5,8,Flock,UK,Tamesis,30,12:00,13,22,5,8,4.615384615,7.692307692
Zimmerius chrysops,4,4,Flock,UK,Fredonia,13,7:00,26,37,4,4,4.285714286,4.285714286
Zimmerius chrysops,4,10,Solitary,UK,Jerico,5,15:00,1,1,4,10,4.109589041,9.863013699
Zimmerius chrysops,4,12,Flock,UK,Tamesis,30,12:00,13,22,4,12,3.846153846,11.53846154
Zimmerius chrysops,3,19,Flock,UK,Tamesis,30,13:00,13,22,3,19,3.214285714,19.28571429
Zimmerius chrysops,3,19,Flock,UK,Otros,36,11:00,,,3,19,3.157894737,18.94736842
Zimmerius chrysops,3,8,Flock,UK,Fredonia,21,12:00,25,35,3,8,2.748091603,7.786259542
Zimmerius chrysops,3,8,Flock,UK,Fredonia,12,9:00,,,3,8,2.608695652,7.826086957
Zimmerius chrysops,3,5,Flock,UK,Otros,32,9:00,,,3,5,2.5,5
Zimmerius chrysops,2,3,Solitary,UK,Jerico,5,16:00,1,1,2,3,2.414860681,2.600619195
Zimmerius chrysops,2,10,Flock,UK,Fredonia,12,9:00,10,15,2,10,2.4,9.6
Zimmerius chrysops,2,8,Flock,UK,Tamesis,25,10:00,15,25,2,8,2.307692308,8.076923077
Zimmerius chrysops,2,11,Flock,UK,Fredonia,13,6:00,26,37,2,11,2.222222222,11.11111111
Zimmerius chrysops,2,5,Solitary,UK,Jerico,5,15:00,1,2,2,5,2.142857143,4.714285714
Zimmerius chrysops,2,4,Solitary,UK,Jerico,7,10:00,1,1,2,4,2.142857143,4.285714286
Zimmerius chrysops,2,5,Solitary,UK,Jerico,5,16:00,1,1,2,5,2.083333333,5.416666667
Zimmerius chrysops,2,2,Flock,UK,Tamesis,5,12:00,,,2,2,2.068965517,2.068965517
Zimmerius chrysops,2,2,Flock,UK,Jerico,29,17:00,7,8,2,2,2.068965517,2.068965517
Zimmerius chrysops,2,3,Solitary,UK,Jerico,5,11:00,1,1,2,3,1.804511278,3.157894737
Zimmerius chrysops,2,8,Flock,UK,Jerico,6,16:00,25,35,2,8,1.764705882,7.826086957
Zimmerius chrysops,2,6,Flock,UK,Fredonia,21,12:00,13,22,2,6,1.739130435,6.486486486
Zimmerius chrysops,2,6,Flock,UK,Tamesis,30,13:00,,,2,6,1.621621622,6.486486486
Zimmerius chrysops,2,16,Flock,UK,Jerico,37,12:00,13,21,2,16,1.512605042,16.13445378
Zimmerius chrysops,1,1,Solitary,UK,Otros,34,14:00,1,1,1,1,0.927835052,1.237113402
Zimmerius chrysops,1,6,Solitary,UK,Jerico,10,8:00,1,1,1,6,0.905660377,5.886792453
Zimmerius chrysops,1,2,Solitary,UK,Jerico,5,16:00,1,1,1,2,0.5,1.70212766
Zimmerius chrysops,0,3,Solitary,UK,Jerico,5,16:00,1,1,0,3,0,3
Zimmerius chrysops,0,2,Solitary,UK,Fredonia,12,7:00,1,1,0,2,0,1.935483871
Zimmerius chrysops,0,3,Solitary,UK,Fredonia,14,6:00,1,1,0,3,0,3
Zimmerius chrysops,4,19,Flock,UK,Jerico,2,11:00,11,20,4,19,3.63,19.1
Zimmerius chrysops,4,12,Flock,UK,Jerico,13,16:00,13,22,4,12,3.7,11.5
Zimmerius chrysops,4,19,Flock,UK,Fredonia,4,12:00,33,38,4,19,3.6,18.5
Zimmerius chrysops,3,13,Flock,UK,Tamesis,16,13:00,11,19,3,13,3,12.5
Zimmerius chrysops,4,5,Flock,UK,Jerico,34,12:00,25,36,4,5,4.1,5
Zimmerius chrysops,4,15,Flock,UK,Otros,12,14:00,28,28,4,15,3.5,15
Zimmerius chrysops,3,10,Flock,UK,Jerico,28,8:00,22,28,3,10,3.1,10
Zimmerius chrysops,3,8,Flock,UK,Jerico,11,16:00,25,35,3,8,2.9,7.5
Zimmerius chrysops,3,12,Flock,UK,Jerico,15,16:00,20,31,3,12,3,12
Zimmerius chrysops,3,8,Flock,UK,Fredonia,18,7:00,22,36,3,8,2.6,8
Zimmerius chrysops,4,9,Solitary,UK,Fredonia,23,9:00,1,1,4,9,4,9
Zimmerius chrysops,2,9,Solitary,UK,Otros,9,12:00,1,1,2,9,2.42,9
Zimmerius chrysops,2,5,Solitary,UK,Jerico,29,7:00,1,1,2,5,2.114,5
Zimmerius chrysops,2,5,Solitary,UK,Fredonia,14,15:00,1,1,2,5,2.385,5
Zimmerius chrysops,2,6,Solitary,UK,Tamesis,6,12:00,1,1,2,6,2.333333333,6
Zimmerius chrysops,1,7,Solitary,UK,Fredonia,40,13:00,1,1,1,7,1.35112782,7
Zimmerius chrysops,1,16,Solitary,UK,Jerico,45,11:00,1,1,1,16,1,16
Zimmerius chrysops,1,15,Solitary,UK,Jerico,50,12:00,1,1,1,15,0.905660377,15
Zimmerius chrysops,1,9,Solitary,UK,Jerico,9,9:00,1,1,1,9,0.5,9
Zimmerius chrysops,0,7,Solitary,UK,Tamesis,17,9:00,1,1,0,7,0,7
Zimmerius chrysops,0,8,Solitary,UK,Jerico,33,16:00,1,1,0,8,0,8
Zimmerius chrysops,0,11,Solitary,UK,Jerico,62,8:00,1,1,0,11,0,11
Parula pitiayumi,18,22,Flock,UK,Tamesis,23,9:00,14,23,18,22,18,22
Parula pitiayumi,10,20,Flock,UK,Jerico,10,8:00,22,37,10,20,10.3030303,20
Parula pitiayumi,8,35,Flock,UK,Tamesis,28,16:00,33,53,8,35,8.275862069,35.17241379
Parula pitiayumi,8,24,Flock,UK,Otros,32,8:00,4,4,8,24,8.13559322,24.40677966
Parula pitiayumi,6,26,Flock,UK,Tamesis,24,8:00,26,37,6,26,6.153846154,26.15384615
Parula pitiayumi,5,26,Flock,UK,Fredonia,20,6:00,13,18,5,26,5.454545455,25.90909091
Parula pitiayumi,5,27,Flock,UK,Fredonia,14,12:00,7,8,5,27,4.875,27.375
Parula pitiayumi,4,38,Flock,UK,Fredonia,20,9:00,13,18,4,38,4.444444444,37.77777778
Parula pitiayumi,4,34,Flock,UK,Otros,36,12:00,,,4,34,4.225352113,33.8028169
Parula pitiayumi,4,26,Flock,UK,Tamesis,23,16:00,11,19,4,26,3.529411765,25.88235294
Parula pitiayumi,3,39,Flock,UK,Tamesis,28,11:00,32,55,3,39,3.402061856,39.27835052
Parula pitiayumi,3,29,Flock,UK,Tamesis,28,11:00,32,55,3,29,3.396226415,29.43396226
Parula pitiayumi,3,37,Flock,UK,Tamesis,30,12:00,13,22,3,37,3.333333333,36.66666667
Parula pitiayumi,3,35,Flock,UK,Tamesis,28,17:00,33,53,3,35,3.076923077,35.38461538
Parula pitiayumi,3,30,Flock,UK,Fredonia,20,6:00,13,18,3,30,3,30
Parula pitiayumi,3,25,Flock,UK,Jerico,5,8:00,14,18,3,25,2.884615385,25.38461538
Parula pitiayumi,3,41,Flock,UK,Jerico,6,11:00,30,36,3,41,2.727272727,40.90909091
Parula pitiayumi,3,26,Flock,UK,Tamesis,28,17:00,33,53,3,26,2.686567164,25.52238806
Parula pitiayumi,3,36,Flock,UK,Tamesis,30,13:00,13,22,3,36,2.666666667,36
Parula pitiayumi,3,29,Flock,UK,Tamesis,24,14:00,22,31,3,29,2.599277978,28.59205776
Parula pitiayumi,3,31,Flock,UK,Jerico,10,11:00,11,13,3,31,2.553191489,31.06382979
Parula pitiayumi,3,26,Flock,UK,Jerico,2,8:00,13,18,3,26,2.5,25.625
Parula pitiayumi,2,30,Flock,UK,Tamesis,25,10:00,15,25,2,30,2.040816327,29.79591837
Parula pitiayumi,2,31,Flock,UK,Fredonia,17,6:00,14,18,2,31,1.935483871,30.96774194
Parula pitiayumi,2,15,Flock,UK,Fredonia,10,11:00,14,21,2,15,1.875,15
Parula pitiayumi,2,15,Solitary,UK,Jerico,9,7:00,1,1,2,15,1.714285714,15.42857143
Parula pitiayumi,1,23,Flock,UK,Tamesis,25,9:00,15,25,1,23,1.451612903,23.22580645
Parula pitiayumi,1,20,Solitary,UK,Fredonia,11,8:00,1,2,1,20,1.224489796,20.20408163
Parula pitiayumi,1,23,Flock,UK,Tamesis,24,8:00,26,37,1,23,1,23
Parula pitiayumi,1,15,Solitary,UK,Jerico,38,16:00,1,1,1,15,0.902255639,14.73684211
Parula pitiayumi,1,11,Solitary,UK,Jerico,38,15:00,1,1,1,11,0.818181818,11.18181818
Parula pitiayumi,1,10,Solitary,UK,Tamesis,25,11:00,1,1,1,10,0.5,10.26315789
Parula pitiayumi,0,21,Flock,UK,Jerico,4,16:00,6,6,0,21,0,20.52631579
Parula pitiayumi,0,34,Solitary,UK,Fredonia,13,13:00,1,1,0,34,0,34.28571429
Parula pitiayumi,0,22,Solitary,UK,Jerico,37,14:00,1,1,0,22,0,21.72413793
Parula pitiayumi,3,36,Flock,UK,Jerico,6,7:00,1,1,3,36,3.306185567,36
Parula pitiayumi,4,30,Flock,UK,Jerico,7,9:00,1,1,4,30,3.622641509,30
Parula pitiayumi,3,36,Flock,UK,Jerico,29,8:00,1,1,3,36,3.333333333,35.5
Parula pitiayumi,1,22,Solitary,UK,Tamesis,32,8:00,1,1,1,22,1.348979592,22
Parula pitiayumi,1,23,Solitary,UK,Fredonia,22,16:00,1,1,1,23,1,23
Parula pitiayumi,1,20,Solitary,UK,Fredonia,13,15:00,1,1,1,20,0.9,20
Parula pitiayumi,1,35,Solitary,UK,Jerico,4,11:00,1,1,1,35,0.5,35
Parula pitiayumi,1,23,Solitary,UK,Jerico,27,16:00,1,1,1,23,1,23
Parula pitiayumi,0,29,Solitary,UK,Tamesis,19,13:00,1,1,0,29,0,29
Parula pitiayumi,1,10,Solitary,UK,Fredonia,11,11:00,1,1,1,10,1.448979592,10
Parula pitiayumi,1,16,Solitary,UK,Tamesis,10,9:00,1,1,1,16,1.1,15.5
Parula pitiayumi,1,20,Solitary,UK,Fredonia,26,8:00,1,1,1,20,0.7,20.20408163
Parula pitiayumi,1,15,Solitary,UK,Jerico,11,16:00,1,1,1,15,0.5,14.73684211
Parula pitiayumi,1,11,Solitary,UK,Jerico,38,15:00,1,1,1,11,0.64,11.18181818
Parula pitiayumi,0,10,Solitary,UK,Tamesis,25,11:00,1,1,0,10,0,10.26315789
Parula pitiayumi,1,34,Solitary,UK,Fredonia,13,13:00,1,1,1,34,1,34.28571429
Parula pitiayumi,0,22,Solitary,UK,Jerico,37,14:00,1,1,0,22,0,21.72413793
Parula pitiayumi,1,19,Solitary,UK,Fredonia,24,11:00,1,1,1,19,0.5,18.5
Parula pitiayumi,1,20,Solitary,UK,Tamesis,38,13:00,1,1,1,20,0.6,20
Parula pitiayumi,0,24,Solitary,UK,Jerico,16,16:00,1,1,0,24,0,24
Parula pitiayumi,0,36,Solitary,UK,Tamesis,19,8:00,1,1,0,36,0,36
