,species,foragingRate,movementRate,sociality,gender,locality,dayofseason,flocksizespecies,flocksizeind,indspecies,capture,second,minutes,capture,movement,foragingRate
,Sethophaga fusca,8.8,16,Flock,Male,Fredonia,25,10,15,1,11,75,1.25,11,,8.8
,Sethophaga fusca,8.75,32.5,Flock,Male,Fredonia,26,13,18,1,14,96,1.6,14,,8.75
,Sethophaga fusca,8.18,19.09,Flock,Female,Fredonia,11,16,23,3,5,44,0.733333333,5,,8.18
,Sethophaga fusca,8,14,Flock,Male,Jerico,4,30,37,2,3,30,0.5,3,,8
,Sethophaga fusca,7.69,16.92,Flock,Female,Jerico,3,7,8,2,2,39,0.65,2,,7.69
,Sethophaga fusca,7.06,16.59,Flock,Female,Jerico,5,32,55,6,4,34,0.566666667,4,,7.06
,Sethophaga fusca,7.06,42.35,Flock,Female,Tamesis,6,31,41,1,19,170,2.833333333,19,,7.06
,Sethophaga fusca,6.84,10,Flock,Female,Jerico,3,7,8,2,2,114,1.9,2,,6.84
,Sethophaga fusca,6.67,31.67,Flock,Female,Fredonia,24,,,,4,36,0.6,4,,6.67
,Sethophaga fusca,6.46,27.23,Flock,Female,Fredonia,11,12,20,2,12,130,2.166666667,12,,6.46
,Sethophaga fusca,6.38,15.32,Flock,Male,Fredonia,12,4,5,2,5,47,0.783333333,5,,6.38
,Sethophaga fusca,6.32,34.74,Flock,Female,Fredonia,8,14,21,3,2,19,0.316666667,2,,6.32
,Sethophaga fusca,6.1,32.54,Flock,Female,Tamesis,35,32,55,6,6,59,0.983333333,6,,6.1
,Sethophaga fusca,6.09,17.39,Flock,Female,Fredonia,11,16,23,3,7,69,1.15,7,,6.09
,Sethophaga fusca,6,29,Flock,Male,Tamesis,24,8,17,3,12,120,2,12,,6
,Sethophaga fusca,6,25,Flock,Male,Fredonia,35,33,53,5,6,60,1,6,,6
,Sethophaga fusca,5.71,17.14,Flock,Female,Fredonia,8,8,9,2,2,21,0.35,2,,5.71
,Sethophaga fusca,5.45,25.71,Flock,Female,Fredonia,12,4,5,2,6,77,1.283333333,6,,5.45
,Sethophaga fusca,5.17,13.45,Flock,Female,Jerico,2,21,23,1,5,58,0.966666667,5,,5.17
,Sethophaga fusca,5.14,27,Flock,Male,Jerico,4,12,16,2,3,35,0.583333333,3,,5.14
,Sethophaga fusca,5.14,29.14,Flock,Female,Jerico,3,,,,12,140,2.333333333,12,,5.14
,Sethophaga fusca,4.93,21.94,Flock,Female,Fredonia,25,10,15,1,11,134,2.233333333,11,,4.93
,Sethophaga fusca,4.8,15.6,Flock,Male,Jerico,3,7,8,2,4,50,0.833333333,4,,4.8
,Sethophaga fusca,4.62,16.92,Flock,Female,Jerico,1,9,10,1,3,39,0.65,3,,4.62
,Sethophaga fusca,4.24,20.61,Flock,Female,Jerico,3,3,6,,7,99,1.65,7,,4.24
,Sethophaga fusca,4.14,19.31,Flock,Male,Fredonia,23,15,33,4,6,87,1.45,6,,4.14
,Sethophaga fusca,4,24,Flock,Female,Fredonia,4,30,37,2,0,15,0.25,0,,4
,Sethophaga fusca,4,20,Flock,Male,Jerico,9,15,21,3,1,15,0.25,1,,4
,Sethophaga fusca,4,22.24,Solitary,Male,Jerico,5,1,1,1,4,60,1,4,,4
,Sethophaga fusca,3.87,27.1,Flock,Male,Fredonia,11,26,37,2,2,31,0.516666667,2,,3.87
,Sethophaga fusca,3.87,42.58,Flock,Male,Fredonia,10,9,12,3,2,31,0.516666667,2,,3.87
,Sethophaga fusca,3.81,26.67,Flock,Male,Tamesis,35,32,55,6,4,63,1.05,4,,3.81
,Sethophaga fusca,3.67,22.04,Flock,Female,Jerico,8,,,,3,49,0.816666667,3,,3.67
,Sethophaga fusca,3.64,20.61,Flock,Male,Fredonia,10,9,12,3,10,198,3.3,10,,3.64
,Sethophaga fusca,3.43,27.86,Solitary,Male,Otros,80,1,1,1,24,420,7,24,,3.43
,Sethophaga fusca,3.23,24.63,Solitary,Male,Tamesis,18,1,1,1,4,75,1.25,4,,3.23
,Sethophaga fusca,3.16,31.58,Flock,Female,Jerico,5,11,22,6,1,19,0.316666667,1,,3.16
,Sethophaga fusca,3.05,25.42,Flock,Male,Jerico,1,13,14,1,6,118,1.966666667,6,,3.05
,Sethophaga fusca,3,18,Flock,Male,Jerico,5,,,,4,80,1.333333333,4,,3
,Sethophaga fusca,3,33,Flock,Male,Fredonia,6,15,27,3,4,80,1.333333333,4,,3
,Sethophaga fusca,3,27.57,Solitary,Female,Jerico,8,1,1,1,1,20,0.333333333,1,,3
,Sethophaga fusca,2.96,23.66,Flock,Female,Fredonia,10,9,12,3,7,142,2.366666667,7,,2.96
,Sethophaga fusca,2.92,23.75,Solitary,Female,Jerico,4,1,1,1,7,144,2.4,7,,2.92
,Sethophaga fusca,2.79,22.33,Flock,Male,Jerico,7,8,8,1,0,43,0.716666667,0,,2.79
,Sethophaga fusca,2.73,28.64,Flock,Female,Fredonia,27,7,9,1,2,44,0.733333333,2,,2.73
,Sethophaga fusca,2.71,26.62,Flock,Male,Fredonia,28,10,17,4,6,133,2.216666667,6,,2.71
,Sethophaga fusca,2.67,18,Solitary,Female,Fredonia,11,1,1,1,4,90,1.5,4,,2.67
,Sethophaga fusca,2.65,29.12,Flock,Male,Fredonia,10,9,12,3,3,68,1.133333333,3,,2.65
,Sethophaga fusca,2.61,27.2,Solitary,Female,Tamesis,30,1,1,1,7,161,2.683333333,7,,2.61
,Sethophaga fusca,2.43,14.59,Solitary,Male,Fredonia,12,1,1,1,6,148,2.466666667,6,,2.43
,Sethophaga fusca,2.22,30,Flock,Male,Jerico,5,,,,3,80,1.333333333,3,,2.22
,Sethophaga fusca,2.18,25.09,Flock,Female,Jerico,5,11,22,6,2,55,0.916666667,2,,2.18
,Sethophaga fusca,2.16,18.38,Flock,Male,Jerico,7,21,31,3,4,111,1.85,4,,2.16
,Sethophaga fusca,2.12,27.71,Solitary,Male,Fredonia,8,1,1,1,2,58,0.966666667,2,,2.12
,Sethophaga fusca,2.03,24.41,Flock,Male,Jerico,4,12,15,3,2,59,0.983333333,2,,2.03
,Sethophaga fusca,2.01,35.44,Solitary,Male,Otros,80,1,1,1,5,149,2.483333333,5,,2.01
,Sethophaga fusca,2,27.57,Solitary,Female,Jerico,8,1,1,1,4,120,2,4,,2
,Sethophaga fusca,1.92,34.81,Flock,Male,Jerico,3,,,,9,312,5.2,9,,1.92
,Sethophaga fusca,1.91,31.76,Solitary,Male,Jerico,5,1,1,1,2,55,0.916666667,2,,1.91
,Sethophaga fusca,1.89,23.35,Solitary,Male,Fredonia,9,1,1,1,2,55,0.916666667,2,,1.89
,Sethophaga fusca,1.82,27.27,Flock,Male,Jerico,2,,,,1,33,0.55,1,,1.82
,Sethophaga fusca,1.76,28.24,Flock,Female,Fredonia,8,13,20,2,3,102,1.7,3,,1.76
,Sethophaga fusca,1.71,36,Flock,Female,Fredonia,10,10,15,1,1,35,0.583333333,1,,1.71
,Sethophaga fusca,1.71,23.14,Flock,Female,Fredonia,10,9,12,3,1,35,0.583333333,1,,1.71
,Sethophaga fusca,1.71,25.71,Solitary,Female,Fredonia,9,1,1,1,2,70,1.166666667,2,,1.71
,Sethophaga fusca,1.69,25.35,Solitary,Female,Fredonia,9,1,1,1,2,71,1.183333333,2,,1.69
,Sethophaga fusca,1.68,30.44,Solitary,Male,Otros,19,1,1,1,1,37,0.616666667,1,,1.68
,Sethophaga fusca,1.6,27.57,Solitary,Female,Jerico,8,1,1,1,1,37,0.616666667,1,,1.6
,Sethophaga fusca,1.43,22.71,Solitary,Female,Fredonia,8,1,1,1,2,86,1.433333333,2,,1.43
,Sethophaga fusca,1.41,31.06,Flock,Female,Tamesis,33,14,20,3,2,85,1.416666667,2,,1.41
,Sethophaga fusca,1.4,22.13,Solitary,Female,Fredonia,8,1,1,1,1,40,0.666666667,1,,1.4
,Sethophaga fusca,1.35,27.6,Solitary,Female,Tamesis,33,1,1,1,1,45,0.75,1,,1.35
,Sethophaga fusca,1.33,20.67,Flock,Female,Jerico,2,4,4,1,2,90,1.5,2,,1.33
,Sethophaga fusca,1.18,40,Flock,Male,Fredonia,25,8,17,4,1,51,0.85,1,,1.18
,Sethophaga fusca,1.18,36.44,Solitary,Female,Otros,57,1,1,1,1,37,0.616666667,1,,1.18
,Sethophaga fusca,1.01,24.61,Solitary,Male,Tamesis,32,1,1,1,6,356,5.933333333,6,,1.01
,Sethophaga fusca,1,26.47,Flock,Female,Jerico,4,,,,1,60,1,1,,1
,Sethophaga fusca,1,19.09,Flock,Male,Fredonia,10,,,,1,60,1,1,,1
,Sethophaga fusca,0.98,33.44,Solitary,Male,Otros,57,1,1,1,1,61,1.016666667,1,,0.98
,Sethophaga fusca,0.94,21.56,Solitary,Female,Tamesis,35,1,1,1,2,128,2.133333333,2,,0.94
,Sethophaga fusca,0.78,19.48,Flock,Male,Jerico,7,,,,1,77,1.283333333,1,,0.78
,Sethophaga fusca,0.78,21.74,Solitary,Male,Tamesis,31,1,1,1,1,75,1.25,1,,0.78
,Sethophaga fusca,0.63,18.63,Solitary,Female,Tamesis,34,1,1,1,1,95,1.583333333,1,,0.63
,Sethophaga fusca,0.61,25.78,Solitary,Female,Jerico,5,1,1,1,1,75,1.25,1,,0.61
,Sethophaga fusca,0.61,28.78,Solitary,Female,Jerico,5,1,1,1,1,98,1.633333333,1,,0.61
,Sethophaga fusca,0.58,19.48,Flock,Male,Jerico,5,,,,1,100,1.666666667,1,,0.58
,Sethophaga fusca,0,26.47,Flock,Female,Jerico,5,21,30,1,0,34,0.566666667,0,,0
,Sethophaga fusca,0,19.09,Flock,Male,Fredonia,8,8,9,2,0,44,0.733333333,0,,0
,Sethophaga fusca,0,24.71,Solitary,Male,Jerico,6,1,1,1,0,51,0.85,0,,0
,Sethophaga fusca,0,21.67,Solitary,Female,Fredonia,8,1,1,1,0,95,1.583333333,0,,0
,Sethophaga fusca,0,22.67,Solitary,Female,Fredonia,12,1,1,1,0,45,0.75,0,,0
,Sethophaga fusca,0,25.57,Solitary,Male,Fredonia,7,1,1,1,0,73,1.216666667,0,,0
,Setophaga cerulea,18.57142857,16.66666667,Flock,female,Tamesis,32,17,20,3,39,126,2.1,39,,18.57142857
,Setophaga cerulea,18.23529412,21.17647059,Flock,female,Tamesis,32,5,7,2,4,70,1.166666667,4,,18.23529412
,Setophaga cerulea,16.09756098,14.63414634,Flock,female,Fredonia,25,12,20,5,40,149,2.5,40,,16.09756098
,Setophaga cerulea,14.375,43.125,Flock,male,Fredonia,11,21,31,2,16,149,2.483333333,16,,14.375
,Setophaga cerulea,12.96398892,19.44598338,Flock,female,Fredonia,25,12,19,5,10,48,0.8,10,,12.96398892
,Setophaga cerulea,12,28,Flock,female,Fredonia,28,26,37,2,3,49,0.816666667,3,,12
,Setophaga cerulea,9.230769231,23.07692308,Flock,female,Fredonia,25,30,36,5,12,78,1.3,12,,9.230769231
,Setophaga cerulea,8.910891089,17.67326733,Flock,male,Fredonia,24,11,19,2,16,108,1.799,16,,8.910891089
,Setophaga cerulea,8.852459016,28.52459016,Flock,female,Tamesis,7,12,20,2,2,21,0.35,2,,8.852459016
,Setophaga cerulea,8,19.2,Flock,Female,Fredonia,17,15,33,5,16,120,2,16,,8
,Setophaga cerulea,7.2,19.2,Flock,female  ,Fredonia,25,14,18,1,0,25,0.416666667,0,,7.2
,Setophaga cerulea,7.111111111,21.33333333,Flock,female,Tamesis,33,17,20,1,2,79,1.316666667,2,,7.111111111
,Setophaga cerulea,7.086614173,16.06299213,Flock,female,Tamesis,36,8,10,1,19,322,5.366666667,19,,7.086614173
,Setophaga cerulea,7.058823529,38.82352941,Flock,female,Fredonia,29,10,16,2,7,141,2.35,7,,7.058823529
,Setophaga cerulea,7,26.89655172,Flock,Male,Tamesis,28,,,1,8,234,3.9,8,,7
,Setophaga cerulea,6.976744186,13.95348837,Flock,female  ,Fredonia,28,13,22,4,5,43,0.7199,5,,6.976744186
,Setophaga cerulea,6.774193548,24.19354839,Flock,male,jerico,6,32,55,3,15,127,2.116666667,15,,6.774193548
,Setophaga cerulea,6.666666667,20,Flock,female,Fredonia,27,,,5,7,99,1.65,7,,6.666666667
,Setophaga cerulea,6.486486486,34.05405405,Flock,female,Tamesis,33,5,7,2,3,148,2.466666667,3,,6.486486486
,Setophaga cerulea,6.44295302,15.30201342,Flock,female,Tamesis,33,16,26,2,2,42,0.7,2,,6.44295302
,Setophaga cerulea,6.206896552,30,Flock,female,Tamesis,34,15,33,2,2,34,0.566666667,2,,6.206896552
,Setophaga cerulea,6.206896552,28.96551724,Flock,female,Fredonia,29,12,19,2,2,42,0.7,2,,6.206896552
,Setophaga cerulea,6.206896552,26.89655172,Flock,female,Tamesis,37,26,37,2,4,86,1.433333333,4,,6.206896552
,Setophaga cerulea,5.874125874,21.81818182,Flock,female,Fredonia,25,14,23,3,31,102,1.7,31,,5.874125874
,Setophaga cerulea,5.874125874,21.81818182,Flock,Male,Fredonia,17,27,38,1,3,34,0.566666667,3,,5.874125874
,Setophaga cerulea,5.81,7.272727273,Flock,Male,Tamesis,26,11,19,2,2,48,0.8,2,,5.81
,Setophaga cerulea,5.78313253,23.85542169,Flock,female,jerico,3,4,5,1,60,404,6.733333333,60,,5.78313253
,Setophaga cerulea,5.714285714,25.71428571,Flock,female,Fredonia,12,10,18,2,69,361,6.016666667,69,,5.714285714
,Setophaga cerulea,5.714285714,25.71428571,Flock,Male,Tamesis,13,33,53,1,3,29,0.483333333,3,,5.714285714
,Setophaga cerulea,5.7,33.75,Flock,Male,Jerico,6,27,43,2,2,17,0.283333333,2,,5.7
,Setophaga cerulea,5.7,37.14285714,Flock,Male,Fredonia,17,18,30,1,18,218,3.633333333,18,,5.7
,Setophaga cerulea,5.69,12,Flock,Male,Fredonia,17,,,,6,73,1.216666667,6,,5.69
,Setophaga cerulea,5.294117647,26.47058824,Flock,female,Tamesis,40,20,29,2,7,190,3.166666667,7,,5.294117647
,Setophaga cerulea,4.95412844,29.72477064,Flock,female,Fredonia,26,,,1,6,80,1.333333333,6,,4.95412844
,Setophaga cerulea,4.931506849,22.19178082,Flock,male,jerico,3,27,43,2,3,15,0.25,3,,4.931506849
,Setophaga cerulea,4.914675768,28.66894198,Flock,female,Tamesis,37,14,21,2,0,28,0.466666667,0,,4.914675768
,Setophaga cerulea,4.909090909,31.09090909,Flock,female,JARDIN,55,10,18,2,1,26,0.433333333,1,,4.909090909
,Setophaga cerulea,4.639175258,22.57731959,Flock,female,Fredonia,28,13,22,1,15,232,3.866666667,15,,4.639175258
,Setophaga cerulea,4.5,28.96551724,Flock,Female,Jerico,7,,,5,5,43,0.716666667,5,,4.5
,Setophaga cerulea,4.5,30,Solitary,male,jerico,1,1,1,3,37,126,2.1,37,,4.5
,Setophaga cerulea,4.242424242,29.09090909,Flock,female,Fredonia,28,32,55,3,1,15,0.25,1,,4.242424242
,Setophaga cerulea,4.137931034,30.77586207,Flock,female,Tamesis,39,32,55,3,9,61,1.016666667,9,,4.137931034
,Setophaga cerulea,4.137931034,30.77586207,Flock,Male,Tamesis,30,30,36,2,1,27,0.45,1,,4.137931034
,Setophaga cerulea,4,4,Flock,female,Tamesis,37,1,1,2,6,90,1.5,6,,4
,Setophaga cerulea,3.75,33.75,Flock,male,jerico,2,8,13,1,11,41,0.683333333,11,,3.75
,Setophaga cerulea,3.673469388,28.16326531,Flock,male,Fredonia,13,10,18,5,6,99,1.6339,6,,3.673469388
,Setophaga cerulea,3.540372671,34.8447205,Flock,female,Hispania,79,10,14,2,1,32,0.533333333,1,,3.540372671
,Setophaga cerulea,3.529411765,30,Flock,male,Fredonia,25,33,53,1,24,293,4.883333333,24,,3.529411765
,Setophaga cerulea,3.5,28.10126582,Flock,Male,Jerico,9,15,29,1,11,99,1.65,11,,3.5
,Setophaga cerulea,3.428571429,30.85714286,Flock,female,Fredonia,28,9,12,1,5,58,0.966666667,5,,3.428571429
,Setophaga cerulea,3.428571429,21.42857143,Flock,female,Fredonia,12,,,1,1,16,0.266666667,1,,3.428571429
,Setophaga cerulea,3.037974684,28.10126582,Flock,male,jerico,39,30,36,2,0,16,0.266666667,0,,3.037974684
,Setophaga cerulea,2.978723404,20.42553191,Flock,female,Tamesis,34,10,14,2,3,70,1.166666667,3,,2.978723404
,Setophaga cerulea,2.857142857,18.57142857,Flock,male,Fredonia,13,14,20,5,4,84,1.4,4,,2.857142857
,Setophaga cerulea,2.857142857,37.14285714,Flock,female,Fredonia,25,36,60,3,9,110,1.833333333,9,,2.857142857
,Setophaga cerulea,2.790697674,24.41860465,Flock,male,Fredonia,13,10,18,2,14,143,2.383333333,14,,2.790697674
,Setophaga cerulea,2.571428571,24,Flock,female,jerico,5,21,31,2,4,37,0.616666667,4,,2.571428571
,Setophaga cerulea,2.5,21.25,Flock,female,Tamesis,31,15,33,8,2,48,0.8,2,,2.5
,Setophaga cerulea,2.5,24.44444444,Flock,Female,Jerico,6,33,53,7,3,72,1.2,3,,2.5
,Setophaga cerulea,2.5,21.25,Flock,Male,Tamesis,23,,,5,2,35,0.583333333,2,,2.5
,Setophaga cerulea,2.4,14.4,Flock,female,jerico,5,15,33,2,3,25,0.416666667,3,,2.4
,Setophaga cerulea,2.307692308,36.92307692,Flock,female,Fredonia,25,8,13,1,24,156,2.6,24,,2.307692308
,Setophaga cerulea,2.307692308,20,Flock,male,jerico,3,14,19,1,15,194,3.233333333,15,,2.307692308
,Setophaga cerulea,2.3,,Solitary,NA,,41,1,1,2,0,25,0.416666667,0,,2.3
,Setophaga cerulea,2.25,28.5,Flock,female,jerico,7,30,36,2,7,62,1.033333333,7,,2.25
,Setophaga cerulea,2.222222222,24.44444444,Flock,female,jerico,36,16,23,3,0,28,0.466666667,0,,2.222222222
,Setophaga cerulea,2.210526316,28.42105263,Flock,female,Fredonia,25,32,55,3,2,64,1.066666667,2,,2.210526316
,Setophaga cerulea,2.142857143,32.14285714,Flock,female,Fredonia,40,21,30,4,0,25,0.416666667,0,,2.142857143
,Setophaga cerulea,1.875,19.6875,Flock,female,Tamesis,36,21,31,2,17,135,2.25,17,,1.875
,Setophaga cerulea,1.875,18.75,Flock,male,jerico,4,21,30,4,1,80,1.333333333,1,,1.875
,Setophaga cerulea,1.764705882,40.58823529,Flock,Male,Tamesis,26,30,36,2,2.999999999,102,1.7,2.999999999,,1.764705882
,Setophaga cerulea,1.764705882,40.58823529,Flock,female,Tamesis,30,15,25,4,0,89,1.483333333,0,,1.764705882
,Setophaga cerulea,1.216216216,17.02702703,Flock,female,Fredonia,12,15,25,4,6,58,0.966666667,6,,1.216216216
,Setophaga cerulea,1,,Solitary,NA,,21,1,1,1,0,99,1.65,0,,1
,Setophaga cerulea,0.833333333,16.66666667,Solitary,female,Fredonia,26,1,1,4,1,72,1.2,1,,0.833333333
,Setophaga cerulea,0.631578947,13.89473684,Flock,male,jerico,2,15,21,2,21,96,1.6,21,,0.631578947
,Setophaga cerulea,0.436363636,17.67272727,Solitary,female,andes,17,1,1,1,8,83,1.383333333,8,,0.436363636
,Setophaga cerulea,0,12,Flock,female,Fredonia,25,14,20,1,1,34,0.566666667,1,,0
,Setophaga cerulea,0,15,Flock,male,jerico,32,14,20,2,0,60,1,0,,0
,Setophaga cerulea,0,28.96551724,Flock,male,jerico,34,1,1,1,0,60,1,0,,0
,Setophaga cerulea,0,30,Flock,male,jerico,34,,,1,1,72,1.2,1,,0
,Setophaga cerulea,0,22.92134831,Flock,female,Tamesis,34,17,18,1,1,95,1.583333333,1,,0
,Setophaga cerulea,0,7.272727273,Flock,female,Tamesis,35,,,,2,275,4.583333333,2,,0
,Setophaga cerulea,0,33.75,Flock,male,jerico,36,21,23,1,0,29,0.483333333,0,,0
,Setophaga cerulea,0,33.6,Flock,female,jerico,37,,,1,0,40,0.666666667,0,,0
,Zimmerius chrysops,8.108108108,3.243243243,Flock,NA,Tamesis,33,15,25,1,10,74,1.233333333,10,,8.108108108
,Zimmerius chrysops,6,2,Flock,NA,Fredonia,37,11,17,1,1,20,0.333333333,1,,6
,Zimmerius chrysops,6,6,Flock,NA,Tamesis,24,15,27,2,3,30,0.5,3,,6
,Zimmerius chrysops,6,,Flock,NA,Otros,56,11,17,1,4,60,1,4,,6
,Zimmerius chrysops,5.142857143,4.571428571,Flock,NA,Tamesis,32,26,37,1,36,420,7,36,,5.142857143
,Zimmerius chrysops,4.855491329,6.589595376,Flock,NA,Fredonia,8,13,20,1,14,173,2.883333333,14,,4.855491329
,Zimmerius chrysops,4.615384615,7.692307692,Flock,NA,Tamesis,38,13,22,2,6,78,1.3,6,,4.615384615
,Zimmerius chrysops,4.285714286,4.285714286,Flock,NA,Fredonia,11,26,37,4,4,56,0.933333333,4,,4.285714286
,Zimmerius chrysops,4.109589041,9.863013699,Solitary,NA,Jerico,3,1,1,,5,73,1.216666667,5,,4.109589041
,Zimmerius chrysops,4.1,5,Flock,NA,Jerico,11,25,36,,3,44,0.733333333,3,,4.1
,Zimmerius chrysops,4,9,Solitary,NA,Fredonia,28,1,1,,6,90,1.5,6,,4
,Zimmerius chrysops,3.846153846,11.53846154,Flock,NA,Tamesis,38,13,22,2,5,78,1.3,5,,3.846153846
,Zimmerius chrysops,3.7,11.5,Flock,NA,Jerico,11,13,22,,6,98,1.633333333,6,,3.7
,Zimmerius chrysops,3.63,19.1,Flock,NA,Jerico,2,11,20,,4,67,1.116666667,4,,3.63
,Zimmerius chrysops,3.6,18.5,Flock,NA,Fredonia,4,33,38,,5,84,1.4,5,,3.6
,Zimmerius chrysops,3.5,15,Flock,NA,Otros,9,28,28,,3,52,0.866666667,3,,3.5
,Zimmerius chrysops,3.214285714,19.28571429,Flock,NA,Tamesis,38,13,22,2,3,56,0.933333333,3,,3.214285714
,Zimmerius chrysops,3.157894737,18.94736842,Flock,NA,Otros,80,13,22,1,2,38,0.633333333,2,,3.157894737
,Zimmerius chrysops,3.1,10,Flock,NA,Jerico,32,22,28,,4,78,1.3,4,,3.1
,Zimmerius chrysops,3,12,Flock,NA,Jerico,12,20,31,,4,80,1.333333333,4,,3
,Zimmerius chrysops,3,12.5,Flock,NA,Tamesis,12,11,19,,5,100,1.666666667,5,,3
,Zimmerius chrysops,2.9,7.5,Flock,NA,Jerico,9,25,35,,2,42,0.7,2,,2.9
,Zimmerius chrysops,2.748091603,7.786259542,Flock,NA,Fredonia,28,25,35,1,6,131,2.183333333,6,,2.748091603
,Zimmerius chrysops,2.608695652,7.826086957,Flock,NA,Fredonia,9,25,35,,3,69,1.15,3,,2.608695652
,Zimmerius chrysops,2.6,8,Flock,NA,Fredonia,37,22,36,,4,93,1.55,4,,2.6
,Zimmerius chrysops,2.5,5,Flock,NA,Otros,56,24,30,1,1,24,0.4,1,,2.5
,Zimmerius chrysops,2.42,9,Solitary,NA,Otros,5,1,1,,3,75,1.25,3,,2.42
,Zimmerius chrysops,2.414860681,2.600619195,Solitary,NA,Jerico,3,1,1,,13,323,5.383333333,13,,2.414860681
,Zimmerius chrysops,2.4,9.6,Flock,NA,Fredonia,10,10,15,1,1,25,0.416666667,1,,2.4
,Zimmerius chrysops,2.385,5,Solitary,NA,Fredonia,12,1,1,,3,76,1.266666667,3,,2.385
,Zimmerius chrysops,2.333333333,6,Solitary,NA,Tamesis,3,1,1,,4,103,1.716666667,4,,2.333333333
,Zimmerius chrysops,2.307692308,8.076923077,Flock,NA,Tamesis,32,15,25,1,2,52,0.866666667,2,,2.307692308
,Zimmerius chrysops,2.222222222,11.11111111,Flock,NA,Fredonia,11,26,37,4,1,27,0.45,1,,2.222222222
,Zimmerius chrysops,2.142857143,4.714285714,Solitary,NA,Jerico,3,1,1,,2,140,2.333333333,2,,2.142857143
,Zimmerius chrysops,2.142857143,4.285714286,Solitary,NA,Jerico,5,1,1,2,3,84,1.4,3,,2.142857143
,Zimmerius chrysops,2.114,5,Solitary,NA,Jerico,24,1,1,,2,57,0.95,2,,2.114
,Zimmerius chrysops,2.083333333,5.416666667,Solitary,NA,Jerico,3,1,1,,5,144,2.4,5,,2.083333333
,Zimmerius chrysops,2.068965517,2.068965517,Flock,NA,Tamesis,3,7,8,1,1,58,0.966666667,1,,2.068965517
,Zimmerius chrysops,2.068965517,2.068965517,Flock,NA,Jerico,36,7,8,1,4,116,1.933333333,4,,2.068965517
,Zimmerius chrysops,1.804511278,3.157894737,Solitary,NA,Jerico,3,1,1,,4,133,2.216666667,4,,1.804511278
,Zimmerius chrysops,1.764705882,7.826086957,Flock,NA,Jerico,4,25,35,1,1,34,0.566666667,1,,1.764705882
,Zimmerius chrysops,1.739130435,6.486486486,Flock,NA,Fredonia,28,13,22,1,2,69,1.15,2,,1.739130435
,Zimmerius chrysops,1.621621622,6.486486486,Flock,NA,Tamesis,38,13,22,2,1,37,0.616666667,1,,1.621621622
,Zimmerius chrysops,1.512605042,16.13445378,Flock,NA,Jerico,87,13,21,1,3,119,1.983333333,3,,1.512605042
,Zimmerius chrysops,1.35112782,7,Solitary,NA,Fredonia,33,1,1,,2,89,1.483333333,2,,1.35112782
,Zimmerius chrysops,1,16,Solitary,NA,Jerico,33,1,1,,2,120,2,2,,1
,Zimmerius chrysops,0.927835052,1.237113402,Solitary,NA,Otros,58,1,1,1,6,388,6.466666667,6,,0.927835052
,Zimmerius chrysops,0.905660377,5.886792453,Solitary,NA,Jerico,8,1,1,,2,133,2.216666667,2,,0.905660377
,Zimmerius chrysops,0.905660377,15,Solitary,NA,Jerico,54,1,1,1,4,265,4.416666667,4,,0.905660377
,Zimmerius chrysops,0.5,1.70212766,Solitary,NA,Jerico,3,1,1,,1,120,2,1,,0.5
,Zimmerius chrysops,0.5,9,Solitary,NA,Jerico,5,1,1,,1,120,2,1,,0.5
,Zimmerius chrysops,0.425531915,1.70212766,Solitary,NA,Jerico,4,1,1,,1,141,2.35,1,,0.425531915
,Zimmerius chrysops,0,3,Solitary,NA,Jerico,3,1,1,,0,58,0.966666667,0,,0
,Zimmerius chrysops,0,1.935483871,Solitary,NA,Fredonia,10,1,1,,0,67,1.116666667,0,,0
,Zimmerius chrysops,0,3,Solitary,NA,Fredonia,12,1,1,,0,52,0.866666667,0,,0
,Zimmerius chrysops,0,7,Solitary,NA,Tamesis,12,1,1,1,0,20,0.333333333,0,,0
,Zimmerius chrysops,0,8,Solitary,NA,Jerico,11,1,1,1,0,62,1.033333333,0,,0
,Zimmerius chrysops,0,11,Solitary,NA,Jerico,4,1,1,,0,20,0.333333333,0,,0
